fid,ID Monumento,Tipo,X,Y,km autopista,km tren,Clase de monumento,Monumentos superiores,Ubicación de intervención,Intervención en ceros,Intervención en DDV,Fecha inicio intervención,Fecha fin intervención,ID Arqueólogo(s),Área de monumento (m2),Cuadros intervenidos,Área intervenida (m2),Total bolsas de material,Estatus de intervención,Tipo de intervención,ID Enlace,Tipo de dictaminación,Supervisión de maquinaria,Tramo,Minuta,ENTREGA,Geomalla,DANI,COMPRO_FECH_FIN,MON SUP RESPUESTAS,subtramo,Reti,Rezago,icon_url
"1",T4_04812,Terraza,3847028.403,1042514.766,N/A,7014+877,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/26,2022/05/30,"409",50,1,4,"1",Intervenido,Excavado,"21023,21040","2",Pendiente,T4,,JUNIO,N/A,,,,1. Izamal,Sin reticula,"2",
"2",T4_04808,Cimiento,3847040.941,1042581.239,N/A,7014+822,Monumento superior,Asociado a monumento principal T4_10359,Ceros tren,Si,No aplica,2022/06/07,2022/06/07,"409",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"0",
"3",T4_12491,Cimiento,3847057.969,1042538.662,N/A,7014+868,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,,,"409",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"5",
"4",T4_12488,Terraza,3847046.779,1042574.101,N/A,7014+831,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,,,"409",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"5",
"5",T4_14184,Cimiento,3847046.346,1042540.893,N/A,7014+861,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,,,"409",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"5",
"6",T4_04948,Nivelación,3848571.308,1039203.115,N/A,7018+546,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/02,2022/05/02,"402",,,,,En proceso,En proceso,"21023,21040","2",Afectación,T4,,,N/A,,,,1. Izamal,Sin reticula,"3",
"7",T4_04966,Cimiento con núcleo,3848228.589,1040087.054,N/A,7017+597,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/01,2022/06/03,"421",48,2,8,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"0",
"8",T4_15024,Cimiento con núcleo,3848562.359,1039513.085,N/A,7018+262,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,,,"410",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,N/A,,,,1. Izamal,Sin reticula,"5",
"9",T4_04969,Nivelación,3848134.06,1040284.814,N/A,7017+377,Monumento principal,T4_04967,Ceros tren,Si,No aplica,2022/06/06,2022/06/09,"408",,1,,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"0",
"10",T4_04967,Cimiento,3848126.988,1040278.565,N/A,7017+380,Monumento superior,Asociado a monumento principal T4_04969,Ceros tren,Si,No aplica,,,"408",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"5",
"11",T4_16021,Terraza,3848142.972,1040280.812,N/A,7017+385,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/03,2022/06/09,"408",,3,,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"0",
"12",T4_04980,Nivelación,3847794.108,1040929.567,N/A,7016+645,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/02,2022/06/07,"401",238,5,20,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,"T4_15038,T4_16029",1. Izamal,Sin reticula,"0",
"13",T4_15013,Cimiento con núcleo,3848687.313,1039040.555,N/A,7018+744,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/05/02,2022/05/02,"402",,,,,Intervenido,Excavado,"21023,21040","2",Afectación,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"3",
"14",T4_04987,Nivelación,3847710.706,1041157.684,N/A,7016+403,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/06/06,2022/06/14,"404",323.75,2,8,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,T4_16075,1. Izamal,Sin reticula,"0",
"15",T4_14183,Haltun,3847033.027,1042555.65,N/A,7014+842,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,,,"409",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0008,,N/A,,,,1. Izamal,Sin reticula,"5",
"16",T4_04539,Basamento,4028950.449,1075131.888,263+520,7208+899,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,Si,2022/05/18,,"418",225,39,128,"55",En proceso,En proceso,"21023","2",Pendiente,T4,,,N/A,,,,4. Leona Vicario,Sin reticula,"2",
"17",T4_12327,Basamento,4028787.632,1074961.637,263+281,7208+660,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,Si,2022/06/10,,"415",182,11,24,"12",En proceso,En proceso,"21023","2",Pendiente,T4,,,N/A,,,,4. Leona Vicario,Sin reticula,"0",
"18",T4_04548,Nivelación,4028773.971,1074995.515,263+288,7208+667,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,Si,,,,,,,,Intervenido,En proceso,"21023","2",Pendiente,T4,,,N/A,,,,4. Leona Vicario,Sin reticula,"5",
"19",T4_01125,Basamento,4029002.818,1075166.989,263+584,7208+963,Monumento principal,Sin monumento superior,Derecho de vía Autopista,No aplica,Si,2022/05/24,,"416",400,8,12,"11",Intervenido,Excavado,"21023","2",Pendiente,T4,,,N/A,,"0",,4. Leona Vicario,Sin reticula,"2",
"20",T4_15012,Cimiento,3848711.589,1039060.535,N/A,7018+737,Monumento superior,Asociado al monumento principal T4_04944,Ceros tren,Si,No aplica,2022/06/07,,"407",,0,,"0",En proceso,En proceso,"21023","2",Pendiente,T4,,,N/A,,,Asociado al monumento principal T4_04944,1. Izamal,Sin reticula,"0",
