qc_id,fid,id monumento,x,y,tipo,km autopista,km tren,clase de monumento,monumentos superiores,ubicación de intervención,intervención en ceros,intervención en ddv,fecha inicio intervención,fecha fin intervención,id arqueólogo(s),área de monumento (m2),cuadros intervenidos,área intervenida (m2),total bolsas de material,estatus de intervención,tipo de intervención,id enlace,tipo de dictaminación,supervisión de maquinaria,tramo,minuta,entrega,icon_url
"69","70",T3_13430,3845676.216,1045417.741,Afloramiento acondicionado,N/A,7011+658,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/05,2022/04/15,"402",14,0,0,"3",Intervenido,Registrado sin excavar,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,
"0","1",T3_13556,3846263.44797747,1044218.20312936,,,,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,,,"409",,,,,Intervenido,Excavado,,,,,,,./0.png
"1","2",T3_13557,3846239.47958837,1044235.9230425,Cueva,,,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,,,"409",,,,,Intervenido,Registro sin excavar,,,,,,,./0.png
"2","3",T4_10464,3846068.07530391,1044604.01824298,Cimiento compuesto,,,Monumento superior,Asociado al monumento principal T4_10465,Ceros tren,Si,No aplica,,,"409",,,,,Intervenido,Excavado,,,,,,,./0.png
"3","4",T4_10463,3846072.16134313,1044601.2745291,,,,Monumento principal,Sin monumento superior,Ceros tren,,,,,,,,,,Intervenido,Excavado,,,,,,,./0.png
"4","5",T3_13553,3846690.352,3846690.352,Cimiento con núcleo,,,Monumento principal,Sin monumento superior,Ceros tren,,,2022/05/09,2022/05/13,"419",,,,,Intervenido,Excavado,"21023",,,T4,,,./0.png
"5","6",T3_13554,3846697.725,3846697.725,Cimiento con núcleo,,,Monumento principal,Sin monumento superior,Ceros tren,,,2022/05/10,2022/05/13,"419",,,,,Intervenido,Excavado,"21023",,,T4,,,./0.png
"6","7",T4_04876,3849540.877,3849540.877,Cimiento,,,Monumento principal,Sin monumento superior,Ceros tren,,,,,,,,,,Intervenido,Excavado,"21023",,,T4,,,./0.png
"7","8",T4_04878,3849445.462,3849445.462,Terraza,,,Monumento principal,Sin monumento superior,Ceros tren,,,,,,,,,,En proceso,En proceso,"21023",,,T4,,,./1.png
"8","9",T4_04877,3849481.545,3849481.545,Cimiento,,,Monumento principal,Sin monumento superior,Ceros tren,,,,,,,,,,En proceso,En proceso,"21023",,,T4,,,./1.png
"9","10",T4_11349,4028617.175,1074949.216,Albarrada,263+118,N/A,Monumento principal,Sin monumento principal,Derecho de vía Autopista,No aplica,No aplica,2022/01/21,2022/01/26,"415",90,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,,MAYO,./0.png
"10","11",T4_04820,3977926.261,1056557.791,Cimiento con núcleo,N/A,7153+777,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"414",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,MAYO,./0.png
"11","12",T4_04819,3977946.305,1056438.314,Cimiento con núcleo,N/A,7153+751,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"417",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,MAYO,./0.png
"12","13",T4_04818,3977941.06,1056434.636,Cimiento con pretil,N/A,7153+744,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"414,417",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,MAYO,./0.png
"13","14",T4_14193,3977887.791,1056532.415,Cimiento con núcleo,N/A,7153+731,Monumento principal,Sin monumento principal,Derecho de vía tren,No aplica,Si,,,"417",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,MAYO,./0.png
"14","15",T4_14192,3977954.267,1056443.239,Cimiento con núcleo,N/A,7153+760,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"414,417",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,MAYO,./0.png
"15","16",T4_14191,3977958.343,1056414.812,Cimiento con núcleo,N/A,7153+753,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"414",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,MAYO,./0.png
"16","17",T3_12545,3845083.607,1045988.039,Cimiento con núcleo,N/A,7010+829,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/03/22,2022/03/24,"408,409",24,0,0,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"17","18",T3_13419,3845120.418,1045926.931,Cimiento con núcleo,N/A,7010+891,Monumento principal,Sin monumento superior,Ceros tren,Si,No aplica,2022/04/01,2022/04/05,"409",36,1,6,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,MAYO,./0.png
"18","19",T3_12535,3844470.354,1046161.781,Cimiento,N/A,7010+192,Monumento principal,Sin monumento superior,Ceros tren,Si,,2022/03/14,2022/03/14,"406",0,0,0,"0",Intervenido,Registro sin excavar,"21023","2",Pendiente,T4,,MAYO,./0.png
"19","20",T4_17053,3977952.008,1056406.758,Montículo Chich,N/A,7153+744,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,,,"414,417",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,MAYO,./0.png
"20","21",T4_04838,3849964.075,1037411.039,Cimiento con núcleo,N/A,7020+863,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/05/05,,"407",36,1,2,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"21","22",T4_12326,4029055.455,1075234.171,Cimiento,263+669,N/A,Monumento superior,Asociado al monumento principal T4_12326,Derecho de vía Autopista,No aplica,SI,2022/05/02,,"416,418,420",,,,,En proceso,En proceso,"21023","2",Pendiente,T4,,,./1.png
"22","23",T4_04836,3849957.701,1037426.024,Cimiento,N/A,7020+851,Monumento superior,Asociado al monumento principal T4_04837,Ceros tren,Si,No Aplica,,,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"23","24",T4_04837,3849964.967,1037421.65,Nivelación,N/A,N/A,Monumento principal,"T4_09140,T4_04836",Ceros tren,Si,No Aplica,2022/05/06,,"407",0,0,0,"0",En proceso,En proceso,"21023","2",Pendiente,T4,,,./1.png
"24","25",T4_09140,3849958.439,1037430.728,Cimiento,N/A,7020+849,Monumento superior,Asociado al monumento principal T4_04837,Ceros tren,Si,No Aplica,,,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
