X,Y,fid,id,m_from,m_to,distance,angle,route,measure,km,icon_url
-87.1545035993888,21.0053791526316,"1","1",0,28268.1722412109,0,58.442493407348,"1",7215100,7215+100,./0.png
-87.15368198471,21.0058494095135,"2","1",0,28268.1722412109,100,59.6182263386693,"1",7215200,7215+200,./0.png
-87.1528523577673,21.0063071413847,"3","1",0,28268.1722412109,200,59.6182263386693,"1",7215300,7215+300,./0.png
-87.1520089533893,21.0067419792323,"4","1",0,28268.1722412109,300,61.5590307307604,"1",7215400,7215+400,./0.png
-87.1511548905924,21.0071579319613,"5","1",0,28268.1722412109,400,63.5003979966354,"1",7215500,7215+500,./0.png
-87.1502907661537,21.0075552206684,"6","1",0,28268.1722412109,500,65.4285384274848,"1",7215600,7215+600,./0.png
-87.1493877371146,21.007861673089,"7","1",0,28268.1722412109,600,73.3148660556268,"1",7215700,7215+700,./0.png
-87.1484559378042,21.0080865023424,"8","1",0,28268.1722412109,700,77.0151582208936,"1",7215800,7215+800,./0.png
-87.1475135119619,21.0082676741615,"9","1",0,28268.1722412109,800,80.7235930024043,"1",7215900,7215+900,./0.png
-87.1465625709413,21.0084048486409,"10","1",0,28268.1722412109,900,84.4325234055562,"1",7216000,7216+000,./0.png
-87.1456049474589,21.0084933322967,"11","1",0,28268.1722412109,1000,84.4325234055562,"1",7216100,7216+100,./0.png
-87.1446435040623,21.0085277893758,"12","1",0,28268.1722412109,1100,88.1440467534235,"1",7216200,7216+200,./0.png
-87.1436814062926,21.0085376933402,"13","1",0,28268.1722412109,1200,89.999851093328,"1",7216300,7216+300,./0.png
-87.1427191575074,21.0085385053014,"14","1",0,28268.1722412109,1300,89.999851093328,"1",7216400,7216+400,./0.png
-87.1417569086766,21.0085393118223,"15","1",0,28268.1722412109,1400,89.999851093328,"1",7216500,7216+500,./0.png
-87.1407946598004,21.008540112903,"16","1",0,28268.1722412109,1500,89.999851093328,"1",7216600,7216+600,./0.png
-87.1398324108792,21.0085409085435,"17","1",0,28268.1722412109,1600,89.999851093328,"1",7216700,7216+700,./0.png
-87.1388701619132,21.0085416987437,"18","1",0,28268.1722412109,1700,89.999851093328,"1",7216800,7216+800,./0.png
-87.1379079129028,21.0085424835037,"19","1",0,28268.1722412109,1800,89.999851093328,"1",7216900,7216+900,./0.png
-87.1369456638482,21.0085432628234,"20","1",0,28268.1722412109,1900,89.999851093328,"1",7217000,7217+000,./0.png
-87.1359834147499,21.0085440367029,"21","1",0,28268.1722412109,2000,89.999851093328,"1",7217100,7217+100,./0.png
-87.135021165608,21.0085448051422,"22","1",0,28268.1722412109,2100,89.999851093328,"1",7217200,7217+200,./0.png
-87.134058916423,21.0085455681412,"23","1",0,28268.1722412109,2200,89.999851093328,"1",7217300,7217+300,./0.png
-87.133096667195,21.0085463257,"24","1",0,28268.1722412109,2300,89.999851093328,"1",7217400,7217+400,./0.png
-87.1321344179244,21.0085470778185,"25","1",0,28268.1722412109,2400,89.999851093328,"1",7217500,7217+500,./0.png
-87.1311721686116,21.0085478244968,"26","1",0,28268.1722412109,2500,89.999851093328,"1",7217600,7217+600,./0.png
-87.1302099192568,21.0085485657348,"27","1",0,28268.1722412109,2600,89.999851093328,"1",7217700,7217+700,./0.png
-87.1292476698603,21.0085493015326,"28","1",0,28268.1722412109,2700,89.999851093328,"1",7217800,7217+800,./0.png
-87.1282854204225,21.0085500318901,"29","1",0,28268.1722412109,2800,89.999851093328,"1",7217900,7217+900,./0.png
-87.1273231709436,21.0085507568074,"30","1",0,28268.1722412109,2900,89.999851093328,"1",7218000,7218+000,./0.png
-87.126360921424,21.0085514762844,"31","1",0,28268.1722412109,3000,89.999851093328,"1",7218100,7218+100,./0.png
-87.125398671864,21.0085521903212,"32","1",0,28268.1722412109,3100,89.999851093328,"1",7218200,7218+200,./0.png
-87.1244364222638,21.0085528989177,"33","1",0,28268.1722412109,3200,89.999851093328,"1",7218300,7218+300,./0.png
-87.1234741726238,21.008553602074,"34","1",0,28268.1722412109,3300,89.999851093328,"1",7218400,7218+400,./0.png
-87.1225119229443,21.00855429979,"35","1",0,28268.1722412109,3400,89.999851093328,"1",7218500,7218+500,./0.png
-87.1215496732256,21.0085549920657,"36","1",0,28268.1722412109,3500,89.999851093328,"1",7218600,7218+600,./0.png
-87.120587423468,21.0085556789012,"37","1",0,28268.1722412109,3600,89.999851093328,"1",7218700,7218+700,./0.png
-87.1196251736718,21.0085563602965,"38","1",0,28268.1722412109,3700,89.999851093328,"1",7218800,7218+800,./0.png
-87.1186629238373,21.0085570362515,"39","1",0,28268.1722412109,3800,89.999851093328,"1",7218900,7218+900,./0.png
-87.1177006739649,21.0085577067662,"40","1",0,28268.1722412109,3900,89.999851093328,"1",7219000,7219+000,./0.png
-87.1167384240548,21.0085583718406,"41","1",0,28268.1722412109,4000,89.999851093328,"1",7219100,7219+100,./0.png
-87.1157761741073,21.0085590314748,"42","1",0,28268.1722412109,4100,89.999851093328,"1",7219200,7219+200,./0.png
-87.1148139241228,21.0085596856688,"43","1",0,28268.1722412109,4200,89.999851093328,"1",7219300,7219+300,./0.png
-87.1138516741015,21.0085603344224,"44","1",0,28268.1722412109,4300,89.999851093328,"1",7219400,7219+400,./0.png
-87.1128894240438,21.0085609777358,"45","1",0,28268.1722412109,4400,89.999851093328,"1",7219500,7219+500,./0.png
-87.11192717395,21.008561615609,"46","1",0,28268.1722412109,4500,89.999851093328,"1",7219600,7219+600,./0.png
-87.1109649238204,21.0085622480419,"47","1",0,28268.1722412109,4600,89.999851093328,"1",7219700,7219+700,./0.png
-87.1100026736552,21.0085628750345,"48","1",0,28268.1722412109,4700,89.999851093328,"1",7219800,7219+800,./0.png
-87.1090404234549,21.0085634965868,"49","1",0,28268.1722412109,4800,89.999851093328,"1",7219900,7219+900,./0.png
-87.1080781732197,21.0085641126989,"50","1",0,28268.1722412109,4900,89.999851093328,"1",7220000,7220+000,./0.png
-87.1071159229498,21.0085647233707,"51","1",0,28268.1722412109,5000,89.999851093328,"1",7220100,7220+100,./0.png
-87.1061536726457,21.0085653286022,"52","1",0,28268.1722412109,5100,89.999851093328,"1",7220200,7220+200,./0.png
-87.1051914223076,21.0085659283935,"53","1",0,28268.1722412109,5200,89.999851093328,"1",7220300,7220+300,./0.png
